review,cleaned_review
"Pale in the color. On the nose citrus pear peach oak tropical lemon melon pineapple cream butter green apple stone fruit honeyamazing nose. On the mouth pairs the nose has an oak, citrus, cream toasted coconut has a medium-full body for a Sauvignon Blanc, medium acidity, medium-long finish. Very good wine.",pale in the color on the nose citrus pear peach oak tropical lemon melon pineapple cream butter green apple stone fruit honeyamazing nose on the mouth pairs the nose has an oak citrus cream toasted coconut has a mediumfull body for a sauvignon blanc medium acidity mediumlong finish very good wine
"This Sb thinks its a chardonnay. And its great. As a matter of fact, it is a chardonnay. Or at least a killer white bordeaux blend. Top notch somms would swear that this is a chard. Not the leafy vegetable. 

Wow. Yum. You guys do it up. Not cheap, mind you. But goooood. 

I love this. Balance balance balance.  This is delicious white wine. Ty for this","this sb thinks its a chardonnay and its great as a matter of fact it is a chardonnay or at least a killer white bordeaux blend top notch somms would swear that this is a chard not the leafy vegetable 

wow yum you guys do it up not cheap mind you but goooood 

i love this balance balance balance  this is delicious white wine ty for this"
"Barrel fermented with lees stiring
Open quite grassy and evolves to white peach, floral (frangipani), corn and a touch of vanilla.
The palate has moderate acidity, good concentration, firm texture, a slightly warming alcohol with a touch of bitterness and good length.
This really benefits from aeration. It became a lot more aromatic and gained weight. Drinking well now, but should evolve in bottle for another 2-3years.","barrel fermented with lees stiring
open quite grassy and evolves to white peach floral frangipani corn and a touch of vanilla
the palate has moderate acidity good concentration firm texture a slightly warming alcohol with a touch of bitterness and good length
this really benefits from aeration it became a lot more aromatic and gained weight drinking well now but should evolve in bottle for another 23years"
"Pale lemon in color with a youthful medium plus intensity on the nose. Citrus, oak, peach, pear, tropical fruit, melon, cream. Dry, medium plus acid, full bodied, high alcohol and medium plus intensity on the body. Long finish. Oak, cream, vanilla, citrus, lemon, tropical fruit. This wine definitely sees some oak aging and is not your NZ zippy sauv Blanc. Minerals. Outstanding quality of wine. Can drink now, suitable for aging.",pale lemon in color with a youthful medium plus intensity on the nose citrus oak peach pear tropical fruit melon cream dry medium plus acid full bodied high alcohol and medium plus intensity on the body long finish oak cream vanilla citrus lemon tropical fruit this wine definitely sees some oak aging and is not your nz zippy sauv blanc minerals outstanding quality of wine can drink now suitable for aging
"@[1|63584282|Abbey Weis] blinded me. Appearance: pale lemon-green, no rim variation. Nose: med intensity. White blossom, honeysuckle. Green apple, yellow apple. Something metallic. White peach, bruised apple, candied. Oil. Tropical. Palate: dry, but not exactly - heavy fruit. Medium acid. Med+ body. Luscious mouthfeel. High alcohol. Med+ flavor intensity. Minerality, white pepper or spice. Oak? Peach, banana, bitter acidity, red apple. Ripe fruits. Finish is med to med+ - Bitter acidity. Guessed NY Riesling. Good!",163584282abbey weis blinded me appearance pale lemongreen no rim variation nose med intensity white blossom honeysuckle green apple yellow apple something metallic white peach bruised apple candied oil tropical palate dry but not exactly  heavy fruit medium acid med body luscious mouthfeel high alcohol med flavor intensity minerality white pepper or spice oak peach banana bitter acidity red apple ripe fruits finish is med to med  bitter acidity guessed ny riesling good
"Very elegant with Medium intensity aromas and flavors of apple, pineapple, apricot, white peach, nectarine, elderflower, brioche, clove, vanilla and smoke.
Hint of dried apricot and honey.
Very good quality, balancing aromatics with a hint of oak. Interesting style with batonnage, 18% new French oak.","very elegant with medium intensity aromas and flavors of apple pineapple apricot white peach nectarine elderflower brioche clove vanilla and smoke
hint of dried apricot and honey
very good quality balancing aromatics with a hint of oak interesting style with batonnage 18 new french oak"
"4.1pts.
Merry Edwards
Sauvignon Blanc 2022.
This is the first time for me to taste this beautiful Sauvignon Blanc.
Merry Edwards Winery was founded in 1997 by one of California’s first highly successful female winemakers.
The winery’s vineyards are influenced by the Pacific Ocean, cooling fog, sandy soils and other attributes that lead to the production of rich, ageable wines.
Silky smooth, bright acidity, complex and balanced.
Aroma from lemon, pineapple, lime zest, acacia, melon, vanilla and minerals.","41pts
merry edwards
sauvignon blanc 2022
this is the first time for me to taste this beautiful sauvignon blanc
merry edwards winery was founded in 1997 by one of californias first highly successful female winemakers
the winerys vineyards are influenced by the pacific ocean cooling fog sandy soils and other attributes that lead to the production of rich ageable wines
silky smooth bright acidity complex and balanced
aroma from lemon pineapple lime zest acacia melon vanilla and minerals"
Absolutely amazing Sauvignon Blanc. Fruity and very soft with mostly citrus and maybe some green apple. Very well built and équilibrated . Soft but flavorful. Pairs very well with light seafood like scallops.,absolutely amazing sauvignon blanc fruity and very soft with mostly citrus and maybe some green apple very well built and équilibrated  soft but flavorful pairs very well with light seafood like scallops
"wonderful peach… full, sweet sauv b",wonderful peach full sweet sauv b
"Buttery, pear, good amount of sweetness, refreshing, pairs well with fish ",buttery pear good amount of sweetness refreshing pairs well with fish 
All time favorite Sauvignon Blanc beautiful honeysuckle and floral notes. Can’t describe the magic on my tongue! So amazing. ,all time favorite sauvignon blanc beautiful honeysuckle and floral notes cant describe the magic on my tongue so amazing 
I got the yummy in my mouth and it’s because of you.,i got the yummy in my mouth and its because of you
"Light, slightly dry & mildly acidic with notes of melon, peach, citrus, caramel, butter and oak",light slightly dry  mildly acidic with notes of melon peach citrus caramel butter and oak
Tropical yet fresh. ,tropical yet fresh 
"The 2019 didn’t disappoint. Pear forward with a hint of melon, slightly citrus finish balanced perfectly with boiled lobster.",the 2019 didnt disappoint pear forward with a hint of melon slightly citrus finish balanced perfectly with boiled lobster
Beautiful wine.  Agree with WS94 notes.  ,beautiful wine  agree with ws94 notes  
Big Canyon wine tasting.  ,big canyon wine tasting  
Smoky...and smooth and sultry.  Enjoy.,smokyand smooth and sultry  enjoy
"Just a fabulous, balanced near perfect wine.",just a fabulous balanced near perfect wine
Omg. These grapes were pressed into service against their will.  Better than dying on the vine.,omg these grapes were pressed into service against their will  better than dying on the vine
Its more a sauvignon than a blanc. Sophisticated and is more rounded than your average blanc. Its reaaal good. Never disappoints but its just a bit expensive for a bottle of white wine isnt it?,its more a sauvignon than a blanc sophisticated and is more rounded than your average blanc its reaaal good never disappoints but its just a bit expensive for a bottle of white wine isnt it
"Had at John & Gail’s, incredibly light and yummy ",had at john  gails incredibly light and yummy 
citrus oak peach pear tropical melon,citrus oak peach pear tropical melon
Soft and smooth. Not acidic.  A Sauvignon blanc for the Chardonnay lover ,soft and smooth not acidic  a sauvignon blanc for the chardonnay lover 
"Pear on the nose and palette. Floral, light honey, melon, touch of butter. On the sweeter side but with crisp acidity, heavier body, almost jammy. Complex, refreshing, delightful.",pear on the nose and palette floral light honey melon touch of butter on the sweeter side but with crisp acidity heavier body almost jammy complex refreshing delightful
"柑橘類 オーク 桃 洋梨 トロピカル風 メロン グレープフルーツ パイナップル
The wine is an excellent white. That's great as it is sharp and dry. That doesn't emphasize grape sweetness","柑橘類 オーク 桃 洋梨 トロピカル風 メロン グレープフルーツ パイナップル
the wine is an excellent white thats great as it is sharp and dry that doesnt emphasize grape sweetness"
"2019 4.5 pts No Indian barbeque is complete without this bottle. This time we pared it with light tomato-based egg curry, and it worked like a charm.",2019 45 pts no indian barbeque is complete without this bottle this time we pared it with light tomatobased egg curry and it worked like a charm
"Caramel, grass, butter, and citrus on the nose.  Further tastes of grapefruit, lemon, pear, and vanilla.  Very good Sauvignon blanc",caramel grass butter and citrus on the nose  further tastes of grapefruit lemon pear and vanilla  very good sauvignon blanc
"Clean, pure, balanced. Well-integrated fruit.  Calming nose.  Slight pepper finish.  As good as you’re going to get from a Cali White.",clean pure balanced wellintegrated fruit  calming nose  slight pepper finish  as good as youre going to get from a cali white
"Nice and pleasant wine. Sweeter initially then I expected, but still not overbearing and at the right moment pivots off to a crisp finish. ",nice and pleasant wine sweeter initially then i expected but still not overbearing and at the right moment pivots off to a crisp finish 
"Beautiful, crisp White.  Similar to some of the nice Bordeaux whites.  Worth the extra money if you like a fuller body savignon blanc vs. a thinner less expensive one.",beautiful crisp white  similar to some of the nice bordeaux whites  worth the extra money if you like a fuller body savignon blanc vs a thinner less expensive one
"Great Wine, oak shows but not as much as a Chardonnay.  Not as crisp and acidic as typical sauvignon blanc. Would definitely buy again. ",great wine oak shows but not as much as a chardonnay  not as crisp and acidic as typical sauvignon blanc would definitely buy again 
"A really superior Sauvignon Blanc, rich and complex.  Pear, apple, citrus , honeydew and honey with moderate acidity.  Honey lingers on the palate. A real treat",a really superior sauvignon blanc rich and complex  pear apple citrus  honeydew and honey with moderate acidity  honey lingers on the palate a real treat
"Slightly on the heavier side for a sauv blanc with a little oakiness.  Lots tropical fruit, stone fruit, some pear and a bit of citrus.  A bit of spice and vanilla.  Very smooth finish.  ",slightly on the heavier side for a sauv blanc with a little oakiness  lots tropical fruit stone fruit some pear and a bit of citrus  a bit of spice and vanilla  very smooth finish  
"Dark straw color.  Medium to full body for a Sauvignon Blanc.  Well balanced with light acidity.  Delicious grapefruit, honey, apple and ripe pineapple.  Long finish with  light minerals.",dark straw color  medium to full body for a sauvignon blanc  well balanced with light acidity  delicious grapefruit honey apple and ripe pineapple  long finish with  light minerals
One of the better whites I’ve tasted in while.  Earthy and floral aroma.  Bold fruit upfront that settles into a very mince finish.  Not too sweet and not too sour!  Just right!,one of the better whites ive tasted in while  earthy and floral aroma  bold fruit upfront that settles into a very mince finish  not too sweet and not too sour  just right
"Pale yellow with pleasing aromas of citrus and tropical fruits, adding in spice and some biscuit notes. On the palate complex palate of flavors, fresh fruit, pineapple, lemon, grapefruit, peaches and Asian pears. Slight earthiness with a smooth and creamy well balanced finish ending with a gentle yeasty character. Very nice! Consistent quality! Will age well!",pale yellow with pleasing aromas of citrus and tropical fruits adding in spice and some biscuit notes on the palate complex palate of flavors fresh fruit pineapple lemon grapefruit peaches and asian pears slight earthiness with a smooth and creamy well balanced finish ending with a gentle yeasty character very nice consistent quality will age well
"One of my all time fav wines - hugely tropical, with floral notes and honey dew melon. Tastes sweet but is dry. Medium body and very elegant",one of my all time fav wines  hugely tropical with floral notes and honey dew melon tastes sweet but is dry medium body and very elegant
